id,repo,sha,date,cat,subject,files,nfiles,diff_lines,before_chars,after_chars,delta
AsfhtgkDavid__theshit__2a19781b,AsfhtgkDavid/theshit,2a19781b74af06518c46385c0910d96e315fabfa,2025-08-12,bugfix,fix: add missed getting bash's aliases,src/shells/bash.rs,1,12,1267,1383,116
apache__arrow-rs__4a906159,apache/arrow-rs,4a9061597a3c372a76e3ab3c38988ef1d0df2410,2026-06-18,bugfix,Add arrow-flight test coverage for IPC compression (#10097),arrow-flight/src/encode.rs,1,36,993,2210,1217
thepowersgang__stack_dst-rs__dbfc8632,thepowersgang/stack_dst-rs,dbfc86328feb6990aa2794d2f913a9ec53b23b97,2023-06-25,bugfix,Fix `cargo miri` error - #10,src/fifo.rs,1,10,1458,1473,15
apache__arrow-rs__d628e58b,apache/arrow-rs,d628e58b21461ef40d3f6652688710a78dd627b8,2026-06-19,bugfix,fix: handle Avro reader schema with no fields (#9611),arrow-avro/src/reader/async_reader/mod.rs|arrow-avro/src/reader/record.rs,2,65,2679,4646,1967
maciejhirsz__beef__663aa908,maciejhirsz/beef,663aa908fe63ac5931c4612d527542d2b1cad202,2020-03-14,bugfix,Fix str::owned_ptr,src/lib.rs,1,5,183,245,62
apache__arrow-rs__9928b7c6,apache/arrow-rs,9928b7c6b7636ea2cbbedb212faa927de8fcccdd,2026-08-22,bugfix,fix: `try_binary` dropped the logical nulls of run and dictionary arrays (#10748),arrow-arith/src/arity.rs,1,51,2760,4808,2048
NilsIrl__MozWire__63c07ef5,NilsIrl/MozWire,63c07ef5304c9c4079a96b18e9fdb475716c84dd,2020-08-24,bugfix,Fix about of `device add` subcommand,src/main.rs,1,5,7552,7701,149
Cisco-Talos__clamav__87e4a342,Cisco-Talos/clamav,87e4a34207a739d784b2ad95afd0f1210ce35841,2024-07-08,bugfix,Added error checking for null/empty strings to prevent bad reads,libclamav_rust/src/scanners.rs,1,11,1037,1139,102
Cisco-Talos__clamav__e9f4ae1f,Cisco-Talos/clamav,e9f4ae1f0907d0acf424bb388cc5bd8fb749919c,2026-03-04,bugfix,Fix based on code review,libclamav_rust/src/util.rs,1,4,985,1007,22
AsfhtgkDavid__theshit__d111fac2,AsfhtgkDavid/theshit,d111fac24bb6907cbf07a782ab486801f24f1847,2026-02-27,bugfix,refactor: replace remaining unwraps with expects in fix.rs,src/fix.rs,1,9,4449,4624,175
acw__simple_asn1__823fc31f,acw/simple_asn1,823fc31f6f9ba0636207226901f46d50eb1fdd01,2018-10-26,bugfix,"Add Display and Error implementations for ASN1DecodeError, plus some context.",src/lib.rs,1,73,8848,9974,1126
acw__simple_asn1__b72f3849,acw/simple_asn1,b72f3849894111d207f6478cf0f872d494ceea6f,2019-03-29,bugfix,"Test reparsing generated GeneralizedTimes, to expose a bug that's about to get fixed.",src/lib.rs,1,15,438,1139,701
tmccombs__tls-listener__f7d0e53e,tmccombs/tls-listener,f7d0e53efa894315e8b45f7232ffb35023e5e78b,2022-03-08,bugfix,Make it so that TlsListener is Send when using native-tls,src/lib.rs,1,4,489,503,14
Cisco-Talos__clamav__1132209e,Cisco-Talos/clamav,1132209ef53744439c7054988bc07f7654955a46,2023-12-14,bugfix,Fix C/Rust FFI pointer type to resolve arm64 compatibility issue and update generated sys.rs,libclamav_rust/src/sys.rs|libclamav_rust/src/util.rs,2,61,217,237,20
tmccombs__tls-listener__050ce86c,tmccombs/tls-listener,050ce86c1546ae2f8b403255cc08982ef843569c,2019-01-30,bugfix,Format fixes,src/lib.rs,1,89,2276,2389,113
return__branca__b301d0e2,return/branca,b301d0e2d193f3682c7f9a3fbf68180c2c39e3e9,2020-02-21,bugfix,Fix invalid ExpiredToken error (#3),src/lib.rs,1,20,3718,3693,-25
cloudflare__odoh-rs__81495e13,cloudflare/odoh-rs,81495e1334c6ac4a87599d1d5fa0d96c1e92a735,2026-07-10,bugfix,Fix hash choice at the top of the file,src/protocol.rs,1,8,1178,1172,-6
Alexhuszagh__rust-stackvector__62d82cc3,Alexhuszagh/rust-stackvector,62d82cc33dba9b0a8382fc467738a46aad421e07,2021-04-12,bugfix,Fixed issues with no_std and updated tests.,src/lib.rs,1,23,2708,2623,-85
Alexhuszagh__rust-stackvector__a0dc1d1e,Alexhuszagh/rust-stackvector,a0dc1d1e198b1276b23294fd8878ffacb9e2a2ee,2026-06-30,bugfix,Fix support on no_std and enable by default.,src/lib.rs,1,65,4856,4828,-28
cloudflare__pingora__71c9fd2b,cloudflare/pingora,71c9fd2b94a96eec9e015fd0fd269cbbcdd1bfa3,2025-11-21,bugfix,fix,pingora-boringssl/src/boring_tokio.rs|pingora-core/src/connectors/tls/boringssl_openssl/mod.rs,2,4,4966,4957,-9
hrektts__cdr-rs__c2f392e8,hrektts/cdr-rs,c2f392e8dc380ba9d50e8be258be0749a3c8a6ac,2023-06-28,bugfix,Use `thiserror` to define 'Error' (#17),src/error.rs,1,80,1903,947,-956
cloudflare__pingora__4d873505,cloudflare/pingora,4d873505d30f64c68e125556b8bb1faf70653fad,2025-11-21,bugfix,fix,pingora-boringssl/src/boring_tokio.rs|pingora-core/src/protocols/l4/ext.rs,2,8,1215,1150,-65
shadowsocks__crypto2__5e8280a5,shadowsocks/crypto2,5e8280a525ec906f205f39da68911a3ab0013e10,2020-11-20,bugfix,Fix AArch64 intrinsics.,src/mac/ghash/aarch64.rs|src/mac/polyval/aarch64.rs,2,20,1726,1402,-324
hrektts__cdr-rs__f58a83a7,hrektts/cdr-rs,f58a83a703b2cad173c9dbcc8f148d41d3c3a436,2021-03-21,bugfix,Return error on unsupported type,src/size.rs,1,7,257,246,-11
SolraBizna__outer_cgi__9a7de8af,SolraBizna/outer_cgi,9a7de8af5b54fccfea8f33001c32cecada06a79a,2021-03-30,bugfix,"Fix remaining, ESPECIALLY unnecessary, uses of uninitialized memory",src/fcgi.rs,1,8,1444,1336,-108
maciejhirsz__beef__f8236434,maciejhirsz/beef,f8236434842e5cc7eda7af9af76f3f2df03bff58,2020-04-22,bugfix,Implement PartialOrd and Ord for Cow and fix Eq impl (#29),src/generic.rs|src/lib.rs,2,73,4134,1761,-2373
comex__rust-shlex__6db4704f,comex/rust-shlex,6db4704fcad8393dd6947b1d31720327546a84a2,2021-02-03,bugfix,Fix #6,src/lib.rs,1,15,901,371,-530
KizzyCode__tiny_future-rust__76e15a4b,KizzyCode/tiny_future-rust,76e15a4b78f80febcf7533e4e38284793aca171d,2018-02-25,bugfix,Fixed bug in `access_shared_state`,src/lib.rs,1,4,234,218,-16
mersinvald__autorand-rs__06b25f25,mersinvald/autorand-rs,06b25f25bceb83e7de9d8080204999d97a475778,2019-05-07,bugfix,fix(test): regenerate number every iteration instead of testing serde_json stability,test_crate/src/lib.rs,1,11,552,544,-8
shadowsocks__crypto2__f1eeeb72,shadowsocks/crypto2,f1eeeb7265297d75e7202f1a272b69638bdd383a,2022-01-20,bugfix,fixed build on aarch64,src/lib.rs|src/mac/ghash/dynamic.rs,2,4,507,507,0
qwertz19281__rust_utils__d58605cc,qwertz19281/rust_utils,d58605ccbbbe4931c122d5b5002251e6e8a47e78,2020-05-23,bugfix,arc_slice: fixes,src/arc_slice/imp.rs,1,38,1280,1152,-128
